Time (sec), TPS(ops/sec)
1,15062.0
2,15618.0
3,17312.0
4,16908.0
5,16747.0
6,16332.0
7,16734.0
8,17467.0
9,17157.0
10,19244.0
11,18090.0
12,17152.0
13,17215.0
14,17880.0
15,16868.0
16,17628.0
17,17489.0
18,17178.0
19,16239.0
20,16709.0
21,17563.0
22,18342.0
23,18612.0
24,17098.0
25,17311.0
26,16721.0
27,16206.0
28,16708.0
29,17552.0
30,18629.0
31,17797.0
32,17752.0
33,17084.0
34,16937.0
35,14917.0
36,16027.0
37,16038.0
38,16395.0
39,17003.0
40,17102.0
41,17540.0
42,17069.0
43,17712.0
44,16900.0
45,17287.0
46,17668.0
47,17847.0
48,17327.0
49,17397.0
50,17205.0
51,15563.0
52,14308.0
53,15001.0
54,16979.0
55,17173.0
56,18307.0
57,18516.0
58,18033.0
59,17473.0
60,18377.0
61,17397.0
62,16165.0
63,16435.0
64,16434.0
65,14800.0
66,15755.0
67,17079.0
68,17600.0
69,16861.0
70,16714.0
71,15714.0
72,16515.0
73,16855.0
74,17920.0
75,15807.0
76,15981.0
77,17398.0
78,17578.0
79,17161.0
80,17986.0
81,18220.0
82,19479.0
83,17398.0
84,17459.0
85,17230.0
86,17395.0
87,17506.0
88,16897.0
89,16387.0
90,16790.0
91,18280.0
92,18274.0
93,18379.0
94,17034.0
95,17295.0
96,17733.0
97,18131.0
98,18203.0
99,16790.0
100,16487.0
101,16600.0
102,17917.0
103,17347.0
104,16820.0
105,16828.0
106,18005.0
107,19645.0
108,19033.0
109,17567.0
110,17466.0
111,17894.0
112,18168.0
113,17613.0
114,17317.0
115,17190.0
116,17123.0
117,17194.0
118,17089.0
119,17092.0
120,17035.0
121,17016.0
122,16430.0
123,16915.0
124,16691.0
125,16035.0
126,15815.0
127,16259.0
128,16366.0
129,17451.0
130,17506.0
131,17354.0
132,16653.0
133,16836.0
134,16718.0
135,17320.0
136,17016.0
137,16235.0
138,16740.0
139,16502.0
140,17956.0
141,17603.0
142,17848.0
143,17429.0
144,16998.0
145,16079.0
146,15962.0
147,14411.0
148,15280.0
149,15713.0
150,16070.0
151,16217.0
152,15612.0
153,16796.0
154,16932.0
155,16650.0
156,16617.0
157,16326.0
158,17845.0
159,16600.0
160,16946.0
161,16318.0
162,17252.0
163,17517.0
164,17002.0
165,17469.0
166,17300.0
167,16949.0
168,15789.0
169,14751.0
170,15842.0
171,16556.0
172,17630.0
173,17026.0
174,17042.0
175,17030.0
176,17319.0
177,16624.0
178,14778.0
179,14510.0
180,14357.0
181,15068.0
182,15438.0
183,16394.0
184,16814.0
185,16770.0
186,16127.0
187,16435.0
188,16745.0
189,15564.0
190,15651.0
191,16017.0
192,17388.0
193,17027.0
194,16900.0
195,16686.0
196,16080.0
197,16578.0
198,16524.0
199,16398.0
200,16638.0
201,16554.0
202,17634.0
203,17355.0
204,17370.0
205,16829.0
206,16684.0
207,15528.0
208,16636.0
209,14833.0
210,15462.0
211,15328.0
212,16830.0
213,16700.0
214,16246.0
215,16818.0
216,17016.0
217,16424.0
218,16085.0
219,15216.0
220,15913.0
221,16521.0
222,15810.0
223,16039.0
224,15906.0
225,17082.0
226,16710.0
227,16507.0
228,16266.0
229,15838.0
230,14911.0
231,13984.0
232,14037.0
233,15105.0
234,15021.0
235,15574.0
236,16119.0
237,17051.0
238,16634.0
239,15586.0
240,15424.0
241,16645.0
242,17458.0
243,17493.0
244,16702.0
245,16524.0
246,16166.0
247,16891.0
248,17314.0
249,16839.0
250,16223.0
251,14832.0
252,14678.0
253,14886.0
254,15498.0
255,16316.0
256,16179.0
257,16411.0
258,17497.0
259,17557.0
260,17109.0
261,16769.0
262,16542.0
263,17165.0
264,17311.0
265,17025.0
266,17054.0
267,16314.0
268,16201.0
269,15750.0
270,15637.0
271,16722.0
272,16756.0
273,16921.0
274,16458.0
275,15850.0
276,16290.0
277,16987.0
278,17367.0
279,16143.0
280,16174.0
281,16522.0
282,16510.0
283,16529.0
284,16465.0
285,15088.0
286,15200.0
287,15687.0
288,16948.0
289,16077.0
290,15782.0
291,15375.0
292,15385.0
293,15600.0
294,16199.0
295,17098.0
296,16543.0
297,16660.0
298,16774.0
299,15912.0
300,16391.0
301,15721.0
302,15909.0
303,16344.0
304,16414.0
305,16223.0
306,16378.0
307,17056.0
308,17723.0
309,18542.0
310,18223.0
311,17507.0
312,15384.0
313,16151.0
314,14977.0
315,15307.0
316,16979.0
317,17646.0
318,17021.0
319,16329.0
320,16818.0
321,17040.0
322,16925.0
323,17177.0
324,17229.0
325,17925.0
326,16713.0
327,16956.0
328,16427.0
329,17102.0
330,16712.0
331,16290.0
332,16748.0
333,16308.0
334,16023.0
335,16563.0
336,17370.0
337,16798.0
338,16717.0
339,17276.0
340,16358.0
341,16850.0
342,16775.0
343,16961.0
344,17279.0
345,17289.0
346,17822.0
347,17034.0
348,16212.0
349,16584.0
350,15236.0
351,14851.0
352,15214.0
353,15191.0
354,15834.0
355,16614.0
356,15364.0
357,16773.0
358,15101.0
359,15553.0
360,16131.0
361,16357.0
362,15908.0
363,14360.0
364,14031.0
365,14765.0
366,14489.0
367,17592.0
368,16964.0
369,17657.0
370,17941.0
371,16643.0
372,17545.0
373,17211.0
374,17559.0
375,16943.0
376,16840.0
377,17203.0
378,17924.0
379,16546.0
380,16754.0
381,16350.0
382,16647.0
383,15563.0
384,16334.0
385,14722.0
386,16145.0
387,15735.0
388,15574.0
389,16738.0
390,16452.0
391,16546.0
392,17008.0
393,17084.0
394,15597.0
395,15779.0
396,16510.0
397,15585.0
398,15424.0
399,16915.0
400,16533.0
401,16767.0
402,16507.0
403,16232.0
404,16092.0
405,16422.0
406,17324.0
407,17422.0
408,17139.0
409,16612.0
410,17774.0
411,17656.0
412,17669.0
413,17326.0
414,17385.0
415,16004.0
416,16079.0
417,16120.0
418,14313.0
419,16485.0
420,15611.0
421,15092.0
422,15897.0
423,16361.0
424,15805.0
425,17390.0
426,15917.0
427,17400.0
428,15468.0
429,15169.0
430,16610.0
431,15743.0
432,14914.0
433,14879.0
434,15023.0
435,15152.0
436,16881.0
437,16136.0
438,16531.0
439,16059.0
440,14778.0
441,15115.0
442,15139.0
443,14686.0
444,15993.0
445,15215.0
446,16241.0
447,15880.0
448,16105.0
449,16739.0
450,17063.0
451,16674.0
452,16524.0
453,16887.0
454,16401.0
455,16266.0
456,15697.0
457,16457.0
458,15603.0
459,16748.0
460,15941.0
461,16356.0
462,16253.0
463,17406.0
464,17312.0
465,17292.0
466,17186.0
467,16308.0
468,15713.0
469,15253.0
470,16233.0
471,15386.0
472,15410.0
473,17121.0
474,16483.0
475,15908.0
476,16535.0
477,16378.0
478,15614.0
479,15267.0
480,15424.0
481,16177.0
482,14953.0
483,15648.0
484,15576.0
485,15990.0
486,16049.0
487,16388.0
488,16316.0
489,17015.0
490,17474.0
491,18380.0
492,17436.0
493,17275.0
494,16285.0
495,14738.0
496,14992.0
497,14679.0
498,14560.0
499,16520.0
500,16744.0
501,16726.0
502,16243.0
503,16096.0
504,16034.0
505,16080.0
506,17320.0
507,17734.0
508,17884.0
509,17536.0
510,17173.0
511,17722.0
512,16005.0
513,16648.0
514,16233.0
515,16615.0
516,17335.0
517,17481.0
518,16935.0
519,17872.0
520,17391.0
521,17164.0
522,17151.0
523,16524.0
524,17030.0
525,16314.0
526,16589.0
527,16167.0
528,16918.0
529,15893.0
530,15593.0
531,16027.0
532,16932.0
533,15774.0
534,16549.0
535,15905.0
536,17295.0
537,17685.0
538,18298.0
539,18475.0
540,17532.0
541,17880.0
542,15613.0
543,16364.0
544,15562.0
545,14641.0
546,16647.0
547,16395.0
548,16484.0
549,17784.0
550,16314.0
551,16372.0
552,16549.0
553,15791.0
554,15737.0
555,16385.0
556,15818.0
557,15585.0
558,16557.0
559,15960.0
560,15877.0
561,15922.0
562,16647.0
563,16418.0
564,17296.0
565,16704.0
566,17003.0
567,15925.0
568,16870.0
569,15574.0
570,15613.0
571,16156.0
572,15519.0
573,16957.0
574,16809.0
575,15930.0
576,15670.0
577,15830.0
578,15299.0
579,16433.0
580,13950.0
581,14931.0
582,15137.0
583,16454.0
584,16127.0
585,17180.0
586,16347.0
587,16191.0
588,16269.0
589,14982.0
590,16930.0
591,14846.0
592,15734.0
593,16191.0
594,14735.0
595,16585.0
596,14194.0
597,15717.0
598,15044.0
599,14716.0
600,15028.0
601,15459.0
602,16921.0
603,17077.0
604,16777.0
605,17074.0
606,17016.0
607,15376.0
608,15853.0
609,15335.0
610,15690.0
611,15208.0
612,16469.0
613,16131.0
614,15905.0
615,15971.0
616,16522.0
617,16179.0
618,15444.0
619,17134.0
620,16136.0
621,15556.0
622,16481.0
623,15655.0
624,16524.0
625,15321.0
626,15337.0
627,16394.0
628,15995.0
629,14946.0
630,15903.0
631,15470.0
632,16823.0
633,15670.0
634,16094.0
635,14584.0
636,15395.0
637,14946.0
638,16916.0
639,17935.0
640,17867.0
641,17488.0
642,17038.0
643,17304.0
644,15898.0
645,17264.0
646,16383.0
647,16114.0
648,15383.0
649,15181.0
650,14424.0
651,16011.0
652,14875.0
653,16567.0
654,17050.0
655,17298.0
656,16225.0
657,17340.0
658,16378.0
659,15793.0
660,16307.0
661,16436.0
662,16717.0
663,16368.0
664,17685.0
665,17484.0
666,17676.0
667,17726.0
668,17867.0
669,16771.0
670,17274.0
671,16326.0
672,15105.0
673,16324.0
674,14332.0
675,14123.0
676,14958.0
677,15009.0
678,14124.0
679,16056.0
680,15940.0
681,16658.0
682,16636.0
683,16234.0
684,15280.0
685,15211.0
686,15632.0
687,16279.0
688,16114.0
689,16034.0
690,16941.0
691,15222.0
692,17293.0
693,17932.0
694,17617.0
695,17536.0
696,17656.0
697,17139.0
698,17457.0
699,17397.0
700,17302.0
701,16359.0
702,16171.0
703,16641.0
704,16116.0
705,16667.0
706,17109.0
707,18244.0
708,17278.0
709,17246.0
710,15688.0
711,16420.0
712,15111.0
713,14555.0
714,15490.0
715,16123.0
716,15887.0
717,16075.0
718,16148.0
719,14650.0
720,16323.0
721,14499.0
722,15523.0
723,16177.0
724,16017.0
725,16238.0
726,16566.0
727,16984.0
728,16150.0
729,16831.0
730,17517.0
731,14557.0
732,15796.0
733,15304.0
734,14974.0
735,15529.0
736,16119.0
737,16751.0
738,16940.0
739,16475.0
740,15318.0
741,15167.0
742,15615.0
743,14978.0
744,15796.0
745,17322.0
746,16717.0
747,17530.0
748,16586.0
749,17112.0
750,16233.0
751,16464.0
752,16405.0
753,16138.0
754,16342.0
755,16242.0
756,16182.0
757,15509.0
758,16101.0
759,16759.0
760,16951.0
761,16919.0
762,16813.0
763,16823.0
764,16495.0
765,16639.0
766,16508.0
767,16589.0
768,17753.0
769,16295.0
770,17023.0
771,18008.0
772,16505.0
773,17266.0
774,17055.0
775,16189.0
776,17058.0
777,16406.0
778,16332.0
779,16661.0
780,16380.0
781,15710.0
782,16419.0
783,15850.0
784,15087.0
785,16198.0
786,15318.0
787,16068.0
788,16074.0
789,16136.0
790,15552.0
791,15187.0
792,16412.0
793,15827.0
794,15734.0
795,16696.0
796,16064.0
797,16465.0
798,14988.0
799,16570.0
800,15298.0
801,15826.0
802,15503.0
803,16825.0
804,16418.0
805,16260.0
806,14874.0
807,15375.0
808,15111.0
809,14602.0
810,16302.0
811,15796.0
812,17058.0
813,16379.0
814,15922.0
815,17192.0
816,16627.0
817,15585.0
818,16611.0
819,14451.0
820,15605.0
821,15782.0
822,15628.0
823,15112.0
824,16540.0
825,15659.0
826,15906.0
827,15800.0
828,16688.0
829,15960.0
830,15617.0
831,16330.0
832,16793.0
833,15221.0
834,15588.0
835,15270.0
836,14696.0
837,15668.0
838,16212.0
839,16169.0
840,16734.0
841,16829.0
842,15814.0
843,17095.0
844,16389.0
845,16854.0
846,16143.0
847,16495.0
848,17045.0
849,16691.0
850,16384.0
851,15221.0
852,15860.0
853,14551.0
854,14600.0
855,15205.0
856,16711.0
857,16851.0
858,17161.0
859,16694.0
860,16751.0
861,16228.0
862,16068.0
863,16205.0
864,15616.0
865,16573.0
866,17078.0
867,16968.0
868,15669.0
869,17159.0
870,14898.0
871,15818.0
872,15824.0
873,16634.0
874,17188.0
875,16881.0
876,16877.0
877,16919.0
878,16930.0
879,15765.0
880,17606.0
881,16718.0
882,16583.0
883,16990.0
884,16267.0
885,16335.0
886,16365.0
887,15317.0
888,16061.0
889,17344.0
890,16808.0
891,16568.0
892,16333.0
893,16390.0
894,15838.0
895,15554.0
896,15328.0
897,15274.0
898,16080.0
899,16153.0
900,15451.0
901,15583.0
902,14409.0
903,16205.0
904,16178.0
905,17314.0
906,16206.0
907,14957.0
908,16812.0
909,15080.0
910,14172.0
911,15707.0
912,15675.0
913,16541.0
914,17441.0
915,17008.0
916,17035.0
917,16753.0
918,17401.0
919,15421.0
920,16138.0
921,16469.0
922,15110.0
923,16187.0
924,17271.0
925,15889.0
926,16496.0
927,16852.0
928,16724.0
929,16675.0
930,16072.0
931,15693.0
932,17450.0
933,16502.0
934,16750.0
935,17143.0
936,16919.0
937,17557.0
938,16031.0
939,17365.0
940,16990.0
941,16464.0
942,16176.0
943,16774.0
944,16821.0
945,15057.0
946,16919.0
947,15037.0
948,16681.0
949,15728.0
950,14734.0
951,16664.0
952,17093.0
953,16682.0
954,16475.0
955,16183.0
956,15428.0
957,16434.0
958,16008.0
959,16226.0
960,17491.0
961,17284.0
962,16338.0
963,16855.0
964,16019.0
965,15116.0
966,16842.0
967,16675.0
968,15700.0
969,17357.0
970,17636.0
971,17921.0
972,16883.0
973,18018.0
974,17580.0
975,16765.0
976,18422.0
977,18225.0
978,17993.0
979,18140.0
980,16960.0
981,18305.0
982,17663.0
983,17661.0
984,17393.0
985,16712.0
986,16935.0
987,18071.0
988,18633.0
989,16442.0
990,16738.0
991,16683.0
992,15022.0
993,16660.0
994,15273.0
995,14616.0
996,17221.0
997,16663.0
998,15879.0
999,16443.0
1000,16535.0
1001,16613.0
1002,16159.0
1003,16768.0
1004,17352.0
1005,15305.0
1006,16309.0
1007,14521.0
1008,13516.0
1009,16623.0
1010,14340.0
1011,16925.0
1012,18328.0
1013,16357.0
1014,15556.0
1015,17566.0
1016,18146.0
1017,17043.0
1018,16921.0
1019,17972.0
1020,18136.0
1021,16989.0
1022,16951.0
1023,16138.0
1024,17029.0
1025,17742.0
1026,15024.0
1027,16464.0
1028,17646.0
1029,15297.0
1030,17099.0
1031,17501.0
1032,16606.0
1033,16965.0
1034,17423.0
1035,17232.0
1036,15929.0
1037,16359.0
1038,15067.0
1039,15431.0
1040,15940.0
1041,15630.0
1042,16943.0
1043,16041.0
1044,14720.0
1045,14680.0
1046,16637.0
1047,14752.0
1048,17532.0
1049,17523.0
1050,17900.0
1051,17087.0
1052,17692.0
1053,18154.0
1054,17191.0
1055,17937.0
1056,15233.0
1057,17267.0
1058,16941.0
1059,14591.0
1060,15823.0
1061,15494.0
1062,16723.0
1063,14861.0
1064,16567.0
1065,15163.0
1066,17150.0
1067,16129.0
1068,16456.0
1069,16923.0
1070,16276.0
1071,16136.0
1072,16272.0
1073,16158.0
1074,15542.0
1075,16625.0
1076,16858.0
1077,16817.0
1078,15960.0
1079,16994.0
1080,16955.0
1081,14268.0
1082,16804.0
1083,16745.0
1084,15776.0
1085,16441.0
1086,16515.0
1087,16876.0
1088,17271.0
1089,16263.0
1090,16377.0
1091,17827.0
1092,15964.0
1093,17470.0
1094,17958.0
1095,16825.0
1096,18088.0
1097,16227.0
1098,17093.0
1099,17355.0
1100,15975.0
1101,16699.0
1102,17736.0
1103,17668.0
1104,17260.0
1105,17305.0
1106,17356.0
1107,17070.0
1108,16886.0
1109,14154.0
1110,17238.0
1111,14833.0
1112,15313.0
1113,16961.0
1114,15699.0
1115,16933.0
1116,16764.0
1117,14663.0
1118,18023.0
1119,15865.0
1120,17481.0
1121,17142.0
1122,15988.0
1123,15123.0
1124,16300.0
1125,14948.0
1126,16976.0
1127,15578.0
1128,15805.0
1129,16821.0
1130,14687.0
1131,17786.0
1132,17913.0
1133,17236.0
1134,18552.0
1135,16427.0
1136,16304.0
1137,18026.0
1138,14427.0
1139,15084.0
1140,15592.0
1141,16641.0
1142,16319.0
1143,15234.0
1144,17229.0
1145,17267.0
1146,16022.0
1147,16593.0
1148,18258.0
1149,14813.0
1150,16077.0
1151,16594.0
1152,15779.0
1153,15615.0
1154,16327.0
1155,17053.0
1156,15227.0
1157,17478.0
1158,17788.0
1159,16629.0
1160,16510.0
1161,16392.0
1162,14518.0
1163,16746.0
1164,15859.0
1165,15643.0
1166,17407.0
1167,17519.0
1168,15811.0
1169,16586.0
1170,17325.0
1171,16317.0
1172,17029.0
1173,17527.0
1174,16952.0
1175,15543.0
1176,16982.0
1177,16029.0
1178,16471.0
1179,16378.0
1180,15318.0
1181,16697.0
1182,15645.0
1183,14644.0
1184,15586.0
1185,15172.0
1186,14965.0
1187,15090.0
1188,14802.0
1189,16315.0
1190,16997.0
1191,16678.0
1192,16803.0
1193,16532.0
1194,15666.0
1195,18015.0
1196,16888.0
1197,15371.0
1198,16866.0
1199,17397.0
1200,16478.0
1201,15110.0
1202,15408.0
1203,17311.0
1204,17254.0
1205,15070.0
1206,17404.0
1207,16316.0
1208,16549.0
1209,15638.0
1210,15997.0
1211,16000.0
1212,12880.0
1213,17762.0
1214,16033.0
1215,14301.0
1216,17088.0
1217,15599.0
1218,15524.0
1219,16129.0
1220,17110.0
1221,16996.0
1222,15239.0
1223,16333.0
1224,15573.0
1225,14726.0
1226,17269.0
1227,14018.0
1228,13747.0
1229,15940.0
1230,15796.0
1231,15266.0
1232,15712.0
1233,16308.0
1234,15959.0
1235,15460.0
1236,15717.0
1237,15638.0
1238,15588.0
1239,16359.0
1240,15128.0
1241,16290.0
1242,17176.0
1243,15712.0
1244,17658.0
1245,16871.0
1246,16574.0
1247,17847.0
1248,15538.0
1249,17435.0
1250,17445.0
1251,17319.0
1252,16801.0
1253,16998.0
1254,17029.0
1255,15893.0
1256,17656.0
1257,17426.0
1258,16285.0
1259,17326.0
1260,17835.0
1261,11375.0
1262,18091.0
1263,17106.0
1264,10814.0
1265,18090.0
1266,15970.0
1267,17144.0
1268,16716.0
1269,14419.0
1270,15984.0
1271,15499.0
1272,16140.0
1273,15445.0
1274,16395.0
1275,14617.0
1276,14113.0
1277,17087.0
1278,15039.0
1279,14972.0
1280,14909.0
1281,14741.0
1282,16521.0
1283,16719.0
1284,15362.0
1285,17504.0
1286,17475.0
1287,15482.0
1288,17621.0
1289,16041.0
1290,15817.0
1291,16587.0
1292,17192.0
1293,16702.0
1294,14425.0
1295,16440.0
1296,16094.0
1297,14623.0
1298,15401.0
1299,16917.0
1300,16953.0
1301,17020.0
1302,17425.0
1303,16997.0
1304,16941.0
1305,14801.0
1306,16087.0
1307,16271.0
1308,13680.0
1309,15368.0
1310,15585.0
1311,16747.0
1312,16713.0
1313,15018.0
1314,16012.0
1315,16987.0
1316,15371.0
1317,16013.0
1318,16305.0
1319,15891.0
1320,14999.0
1321,17161.0
1322,15510.0
1323,17430.0
1324,16223.0
1325,15299.0
1326,16690.0
1327,17505.0
1328,15726.0
1329,16434.0
1330,15917.0
1331,16992.0
1332,15994.0
1333,15978.0
1334,16530.0
1335,15689.0
1336,14761.0
1337,13927.0
1338,16479.0
1339,13837.0
1340,16376.0
1341,16763.0
1342,16576.0
1343,16323.0
1344,15923.0
1345,15992.0
1346,14972.0
1347,16823.0
1348,16644.0
1349,15655.0
1350,16198.0
1351,16749.0
1352,18018.0
1353,15567.0
1354,18855.0
1355,18269.0
1356,16646.0
1357,16799.0
1358,17233.0
1359,16879.0
1360,16024.0
1361,16850.0
1362,16777.0
1363,16401.0
1364,15676.0
1365,17170.0
1366,15487.0
1367,16397.0
1368,17332.0
1369,16934.0
1370,16663.0
1371,16521.0
1372,15182.0
1373,17592.0
1374,15010.0
1375,16246.0
1376,16357.0
1377,14056.0
1378,17358.0
1379,15795.0
1380,17619.0
1381,16294.0
1382,16355.0
1383,16308.0
1384,14386.0
1385,15351.0
1386,15463.0
1387,14286.0
1388,16406.0
1389,15523.0
1390,15346.0
1391,17108.0
1392,13439.0
1393,15674.0
1394,16785.0
1395,12000.0
1396,16138.0
1397,16268.0
1398,16112.0
1399,15560.0
1400,16832.0
1401,15366.0
1402,14949.0
1403,16031.0
1404,15728.0
1405,15404.0
1406,15735.0
1407,15310.0
1408,15742.0
1409,16097.0
1410,14932.0
1411,16294.0
1412,15581.0
1413,15860.0
1414,15701.0
1415,15846.0
1416,16589.0
1417,14467.0
1418,15483.0
1419,15561.0
1420,16776.0
1421,15137.0
1422,12615.0
1423,16438.0
1424,16477.0
1425,13371.0
1426,17371.0
1427,16994.0
1428,16958.0
1429,16276.0
1430,15904.0
1431,16427.0
1432,15587.0
1433,14142.0
1434,15718.0
1435,15308.0
1436,16791.0
1437,15687.0
1438,14949.0
1439,16599.0
1440,15780.0
1441,15458.0
1442,16072.0
1443,16007.0
1444,15471.0
1445,16494.0
1446,14441.0
1447,16511.0
1448,16586.0
1449,16255.0
1450,14984.0
1451,16328.0
1452,15074.0
1453,17801.0
1454,15618.0
1455,15474.0
