Time (10 x sec), Avg. Response Time (us), Standard deviation (us)
1,11897.333333333334,13659.183333333334
2,11444.0,11714.173333333334
3,11518.333333333334,11791.803333333335
4,11285.333333333334,9823.753333333334
5,11956.0,11017.706666666667
6,11401.666666666666,8925.849999999999
7,11541.333333333334,8957.12
8,11427.0,13385.063333333334
9,11460.0,10139.736666666666
10,11307.0,10131.873333333333
11,11800.666666666666,11782.983333333332
12,12392.333333333334,14660.156666666668
13,11369.0,9353.87
14,11996.0,13003.616666666667
15,12176.333333333334,14266.756666666668
16,12600.333333333334,16578.49
17,12068.666666666666,13603.400000000001
18,12095.333333333334,13007.830000000002
19,12549.0,15670.086666666668
20,11237.333333333334,11157.673333333332
21,11413.333333333334,9513.213333333335
22,10894.666666666666,7177.193333333334
23,11991.0,13063.449999999999
24,11502.0,10315.806666666665
25,11066.666666666666,7930.843333333333
26,12894.666666666666,24996.906666666666
27,12378.666666666666,14943.340000000002
28,11166.666666666666,9818.473333333333
29,11953.0,11302.163333333332
30,12430.0,16942.453333333335
31,11797.0,12340.926666666666
32,10945.333333333334,9255.156666666668
33,11625.0,11232.426666666666
34,11760.666666666666,10383.096666666666
35,11681.666666666666,10551.926666666668
36,10752.666666666666,7745.29
37,11636.0,12270.950000000003
38,13448.0,21205.336666666666
39,11319.666666666666,11911.909999999998
40,11730.333333333334,19159.22
41,11293.333333333334,10813.770000000002
42,10826.666666666666,8056.733333333334
43,11542.0,11845.76
44,11720.666666666666,13482.480000000001
45,11646.333333333334,12774.523333333333
46,11453.0,11941.756666666668
47,11239.0,8994.923333333334
48,11648.333333333334,14566.536666666667
49,11614.333333333334,13430.346666666666
50,11746.666666666666,12140.12
51,11348.0,8986.253333333332
52,11763.333333333334,10570.643333333333
53,11862.0,12464.5
54,11502.0,10873.926666666666
55,11024.0,8482.213333333333
56,11517.666666666666,10391.710000000001
57,11280.0,10001.9
58,11807.0,13005.61
59,11359.0,8656.896666666666
60,11458.666666666666,12342.666666666666
61,11902.333333333334,17912.176666666666
62,11457.333333333334,11950.159999999998
63,11559.666666666666,11125.383333333333
64,12094.0,13908.033333333333
65,11954.333333333334,11230.503333333332
66,12056.333333333334,12492.893333333333
67,11432.333333333334,8532.663333333332
68,11554.333333333334,11071.276666666667
69,12015.0,14198.486666666666
70,11937.666666666666,10819.166666666666
71,10990.0,8872.653333333334
72,11854.0,15656.51
73,11721.0,13172.14
74,11057.0,10156.706666666667
75,10972.0,9465.306666666667
76,11970.333333333334,17445.683333333334
77,11579.666666666666,12308.69
78,11512.666666666666,11508.72
79,12207.0,15558.666666666666
80,11596.666666666666,12164.926666666666
81,12159.333333333334,17374.52
82,12093.333333333334,14434.713333333333
83,11063.0,7384.040000000001
84,11733.666666666666,13200.196666666665
85,11987.333333333334,15107.353333333333
86,11188.666666666666,9773.88
87,11938.666666666666,20012.91
88,11586.666666666666,11796.756666666668
89,11610.0,11176.083333333334
90,11311.333333333334,11269.436666666666
91,11607.666666666666,16755.24
92,11095.333333333334,8889.106666666667
93,11518.0,9932.03
94,11929.666666666666,18063.03
95,12123.333333333334,13725.24
96,11908.666666666666,15915.503333333334
97,11693.333333333334,12718.793333333335
98,13887.333333333334,42991.39333333333
99,11252.666666666666,13303.233333333332
100,11449.0,14317.806666666665
101,11173.0,11064.536666666667
102,11853.666666666666,13951.566666666666
103,12210.333333333334,18586.780000000002
104,11852.0,12792.223333333333
105,11798.333333333334,14213.796666666667
106,11641.666666666666,10512.25
107,11282.333333333334,13109.74
108,11483.666666666666,11595.24
109,12036.0,13841.769999999999
110,11022.666666666666,8065.14
111,11443.333333333334,13320.653333333335
112,12297.666666666666,17283.09
113,11745.666666666666,13147.573333333334
114,11875.666666666666,12439.713333333333
115,12477.0,16191.946666666665
116,11803.0,12752.516666666668
117,12508.0,17664.493333333336
118,12134.333333333334,15262.616666666667
119,11961.666666666666,11910.066666666666
120,11908.0,10881.51
121,11267.0,8423.093333333332
122,11865.333333333334,13375.583333333334
123,11458.333333333334,8076.350000000001
124,11508.333333333334,15529.220000000001
125,12529.333333333334,18038.99
126,12334.666666666666,14342.516666666665
127,12342.333333333334,17389.22666666667
128,12232.0,15591.603333333333
129,12804.0,19298.243333333332
130,11750.666666666666,14038.293333333333
131,12354.666666666666,16000.42
132,11728.333333333334,11109.296666666667
133,11608.666666666666,10657.519999999999
134,13104.0,21024.78
135,11770.333333333334,15687.173333333332
136,12192.333333333334,14924.926666666666
137,11934.0,14203.876666666665
138,11283.666666666666,10751.386666666667
139,11910.666666666666,12399.076666666666
140,12009.333333333334,14672.373333333331
141,12519.333333333334,18319.61
142,12459.666666666666,16737.866666666665
143,12335.333333333334,14684.303333333335
144,11929.333333333334,13011.733333333332
145,12025.0,14777.083333333334
146,11244.666666666666,9995.296666666667
147,11458.666666666666,14576.213333333333
148,11459.0,11509.583333333334
149,11875.0,15201.443333333335
150,11577.666666666666,13372.383333333331
151,12491.0,20418.803333333333
152,11372.0,11372.013333333334
153,12124.666666666666,16184.233333333332
154,11905.666666666666,15382.210000000001
155,12315.666666666666,16163.82
156,12833.666666666666,18427.806666666667
157,11807.666666666666,17243.593333333334
158,11490.333333333334,11137.793333333335
159,12485.666666666666,17623.613333333335
160,12193.333333333334,15124.746666666666
161,12103.666666666666,14035.196666666665
162,12134.666666666666,13735.883333333333
163,11755.666666666666,15242.196666666665
164,11060.333333333334,9024.78
165,11603.0,11847.416666666666
166,12449.666666666666,18936.106666666667
167,11801.333333333334,16235.413333333332
168,12448.666666666666,13118.300000000001
169,12766.0,25165.0
170,11970.666666666666,13135.65
171,12016.333333333334,18627.073333333334
172,12456.333333333334,25162.453333333335
173,11654.333333333334,14968.676666666666
174,11519.0,11463.233333333332
175,12236.666666666666,11600.666666666666
176,11948.666666666666,15219.166666666666
177,12256.333333333334,16047.393333333333
178,12099.333333333334,13403.76
179,12156.666666666666,14278.75
180,12500.333333333334,21393.789999999997
181,12418.0,17055.88
182,11331.333333333334,11876.153333333334
183,11587.0,13224.400000000001
184,12347.666666666666,17173.116666666665
185,11563.0,15922.703333333333
186,10933.666666666666,10595.69
187,12131.333333333334,17350.703333333335
188,11897.0,16076.416666666666
189,11884.0,17596.780000000002
190,11311.666666666666,9130.63
191,11741.333333333334,11410.043333333333
192,12192.333333333334,13471.653333333334
193,12459.333333333334,16571.636666666665
194,12510.333333333334,16586.106666666667
195,12792.0,19471.736666666668
196,11958.666666666666,12467.263333333334
197,12205.666666666666,14027.763333333334
198,12288.666666666666,13643.753333333334
199,11924.666666666666,12011.576666666666
200,11404.666666666666,10341.533333333335
201,11679.666666666666,12328.57
202,12028.333333333334,15357.746666666666
203,13898.0,29816.66333333333
204,11998.0,16312.483333333335
205,11857.0,13464.483333333332
206,13358.0,33443.200000000004
207,12359.0,18899.03
208,11298.666666666666,11996.333333333334
209,11946.333333333334,14270.796666666667
210,11445.0,12534.506666666668
211,11162.333333333334,10680.88
212,12622.0,22676.156666666666
213,11984.333333333334,14075.67
214,11776.0,13629.216666666667
215,12802.333333333334,17550.166666666668
216,11844.333333333334,17096.93
217,11968.666666666666,14754.426666666666
218,11813.333333333334,14872.773333333333
219,11834.666666666666,10795.720000000001
220,11958.666666666666,10426.006666666666
221,12800.0,16193.799999999997
222,11952.333333333334,13668.663333333332
223,12826.333333333334,15889.776666666667
224,12252.333333333334,16008.446666666665
225,11661.333333333334,13342.56
226,12178.333333333334,14284.523333333333
227,11334.666666666666,10448.58
228,11992.333333333334,11287.18
229,11732.666666666666,14787.406666666668
230,11995.0,12083.116666666667
231,12083.333333333334,14409.246666666666
232,11777.0,11531.983333333332
233,12669.333333333334,18417.329999999998
234,12641.333333333334,17039.513333333336
235,11756.666666666666,11822.693333333335
236,12703.0,19940.53
237,12403.666666666666,18396.546666666665
238,12044.666666666666,15361.403333333334
239,12426.666666666666,16095.51
240,11767.333333333334,12328.503333333334
241,11320.333333333334,10682.653333333334
242,12536.0,20047.260000000002
243,11354.333333333334,10821.053333333331
244,12151.666666666666,15389.253333333334
245,11283.333333333334,13615.816666666666
246,12238.333333333334,20721.373333333333
247,12426.0,18494.77666666667
248,11311.0,9254.35
249,12160.333333333334,13279.13
250,13030.0,19992.47
251,12143.666666666666,16230.54
252,11505.0,11769.756666666668
253,12391.333333333334,19029.01
254,11361.666666666666,10951.033333333333
255,12791.0,18316.916666666668
256,12329.0,16927.156666666666
257,12286.666666666666,15463.340000000002
258,12718.666666666666,18674.156666666666
259,12020.666666666666,15019.43
260,12589.333333333334,21527.593333333334
261,10878.666666666666,6999.193333333333
262,11173.333333333334,9258.476666666667
263,11762.333333333334,13012.18
264,11209.333333333334,9072.9
265,12333.0,16844.716666666664
266,11580.333333333334,10111.24
267,12064.0,10947.580000000002
268,12600.666666666666,16063.29
269,12111.0,13912.713333333333
270,12842.666666666666,21603.423333333336
271,11903.0,13070.716666666667
272,12473.333333333334,14159.356666666667
273,13105.333333333334,21039.04333333333
274,12109.0,15611.37
275,11484.333333333334,11142.906666666668
276,12444.333333333334,22800.556666666667
277,11583.666666666666,13267.803333333335
278,11332.666666666666,14493.94
279,11064.0,10465.683333333334
280,12491.666666666666,17781.646666666667
281,12095.0,14182.433333333334
282,11719.666666666666,12238.906666666668
283,12180.0,16829.306666666667
284,11708.0,10903.193333333333
285,11428.666666666666,10010.103333333334
286,11909.333333333334,13872.123333333335
287,11828.333333333334,12186.916666666666
288,11173.333333333334,9283.746666666666
289,12694.333333333334,16167.480000000001
290,12298.0,15476.216666666667
291,11902.0,12769.513333333334
292,11570.0,9740.283333333333
293,11571.666666666666,11694.13
294,11299.0,9854.086666666668
295,11649.333333333334,14108.340000000002
296,12563.0,16978.843333333334
297,12738.333333333334,19135.366666666665
298,12550.0,15996.236666666666
299,12775.666666666666,15200.58
300,12050.0,17632.61333333333
301,11360.666666666666,11844.82
302,11757.666666666666,14647.556666666665
303,12932.333333333334,20141.75
304,11798.333333333334,13107.893333333333
305,11711.0,11179.93
306,12225.0,11265.046666666667
307,12445.0,18220.976666666666
308,12045.0,12933.753333333334
309,11778.0,13703.586666666668
310,12229.0,16010.806666666665
311,12616.333333333334,20319.833333333332
312,11947.333333333334,17322.13666666667
313,11619.333333333334,11809.716666666667
314,12205.666666666666,13441.006666666668
315,11653.333333333334,12797.83
316,11809.333333333334,12185.303333333335
317,12086.0,13854.35
318,11574.666666666666,11209.730000000001
319,12511.666666666666,16094.286666666667
320,12880.333333333334,20719.643333333333
321,12815.0,14840.076666666668
322,12402.0,16737.539999999997
323,12451.333333333334,15122.179999999998
324,12678.333333333334,17094.563333333335
325,12478.333333333334,18288.303333333333
326,12622.666666666666,18612.64
327,12096.666666666666,15664.416666666666
328,12614.333333333334,18477.086666666666
329,12801.666666666666,21124.986666666668
330,11435.0,12591.480000000001
331,12488.0,22215.569999999996
332,11463.666666666666,13864.763333333334
333,12165.0,14339.07
334,12264.666666666666,17239.626666666667
335,13083.333333333334,25060.73
336,13063.0,19273.093333333334
337,12043.0,13486.873333333331
338,12149.333333333334,17473.49666666667
339,12240.333333333334,15744.03
340,11882.666666666666,13612.586666666668
341,12235.0,15554.376666666669
342,11861.0,14089.206666666665
343,12440.666666666666,15608.61
344,13273.666666666666,19706.48
345,12563.0,16957.313333333335
346,12263.0,16693.57333333333
347,12188.666666666666,13458.236666666666
348,11810.666666666666,12718.243333333332
349,12180.333333333334,12955.36
350,11984.0,10437.326666666668
351,12043.333333333334,13408.599999999999
352,12536.666666666666,16226.736666666666
353,12308.0,13496.550000000001
354,11629.666666666666,13622.57
355,11778.333333333334,13552.986666666666
356,12276.0,16308.856666666667
357,11956.0,15254.543333333335
358,11589.333333333334,9267.553333333333
359,11463.333333333334,10436.073333333334
360,11469.666666666666,16990.823333333334
